listing_id,latitude,longitude,hover_description,listing_url,price,property_type,room_type,accommodates,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,reviews_per_month,host_id,host_name,host_identity_verified,host_listings_count,host_total_listings_count,license,neighbourhood,minimum_nights
30739175,38.91024,-77.01436,"Heart of dtown NW, DC house w/parkng.14th & U st",https://www.airbnb.com/rooms/30739175,120.0,Entire townhouse,Entire home/apt,6,108,0,0,2019-06-09,2023-04-30,4.43,1.76,20285809,Rachael,True,2,3,,"NE/NW Edgewood, Bloomingdale, Truxton Circle, Eckington",31.0
30739818,38.91315,-77.04798,Dupont: Metro+Balcony+Pet-friendly+FAST Wi-Fi+Roku,https://www.airbnb.com/rooms/30739818,104.0,Entire rental unit,Entire home/apt,2,176,37,1,2019-01-06,2024-05-30,4.82,2.65,487806,Stay Bubo,True,99,237,Exempt,"NW-mid Kalorama Heights, Adams Morgan, Lanier Heights",1.0
30740961,38.91346,-77.04798,"Dupont Circle: Metro+Pet-friendly+FASTwifi+40""Roku",https://www.airbnb.com/rooms/30740961,101.0,Entire rental unit,Entire home/apt,2,152,28,1,2019-01-06,2024-06-06,4.76,2.29,487806,Stay Bubo,True,99,237,Exempt,"NW-mid Kalorama Heights, Adams Morgan, Lanier Heights",1.0
30765894,38.93292,-76.96539,Coziest NE one bedroom basement/private bathroom.,https://www.airbnb.com/rooms/30765894,50.0,Private room in home,Private room,1,0,0,0,,,,,80330538,Linda,True,2,2,,"NE Woodridge, Fort Lincoln, Gateway",90.0
30775571,38.89994,-77.01103,Chic & Modern 2B condo@10mins walk Judiciary Metro,https://www.airbnb.com/rooms/30775571,212.0,Entire serviced apartment,Entire home/apt,7,163,26,0,2019-01-25,2024-05-20,4.87,2.48,46582948,Huxley,True,41,196,Exempt,"NW-mid Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",3.0
30798257,38.90976,-77.06267,Darling Garden Apartment in Heart of Georgetown,https://www.airbnb.com/rooms/30798257,226.0,Entire rental unit,Entire home/apt,3,313,61,6,2018-12-15,2024-06-16,4.92,4.66,230413534,Meaghan,True,1,1,Hosted License: 5007242201000765,"NW-far Georgetown, Burleith/Hillandale",2.0
30812242,38.93079,-77.02782,Bright & Spacious 1BR - Basement Apartment,https://www.airbnb.com/rooms/30812242,130.0,Entire rental unit,Entire home/apt,2,175,21,2,2019-01-07,2024-06-14,4.97,2.63,7181747,Roxana,True,1,1,Hosted License: 5007242201001179,"NW-mid Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",4.0
30824111,38.89211,-76.95391,Affordable guest room w/ street parking,https://www.airbnb.com/rooms/30824111,51.0,Private room in townhouse,Private room,2,135,36,5,2018-12-25,2024-06-15,4.94,2.02,230569854,Brandon,True,2,2,Hosted License: 5007242201000223,"NE/SE River Terrace, Benning, Greenway, Dupont Park",1.0
30952933,38.91518,-77.03684,Carriage House Studio,https://www.airbnb.com/rooms/30952933,175.0,Entire rental unit,Entire home/apt,2,27,15,2,2019-01-08,2024-06-16,4.93,0.41,36982214,Lance,True,2,3,Hosted License: 5007242201001203<br />Unhosted License: 5007262201001204,"NW-mid Dupont Circle, Connecticut Avenue/K Street",5.0
30958606,38.95254,-76.99578,"Quiet & bright room, 7 min walk from Metro, trail",https://www.airbnb.com/rooms/30958606,98.0,Private room in home,Private room,2,1,0,0,2019-11-12,2019-11-12,4.0,0.02,4474955,Will,False,2,3,Hosted License: 5007242201001842,"NE North Michigan Park, Michigan Park, University Heights",1.0
30981199,38.87965,-76.98712,Walker's Paradise in Capitol Hill Apartment!,https://www.airbnb.com/rooms/30981199,411.0,Entire rental unit,Entire home/apt,5,36,1,0,2018-12-29,2023-08-19,4.67,0.54,3448315,Allen,False,15,15,,"SE Capitol Hill, Lincoln Park",65.0
30984676,38.95138,-77.01365,Private Space In Newly Redone Petworth Rowhouse,https://www.airbnb.com/rooms/30984676,109.0,Private room in townhouse,Private room,2,6,1,0,2020-03-23,2024-05-15,5.0,0.12,55835374,Jennifer,True,1,2,Hosted License: 5007242201000912,"NW-mid Brightwood Park, Crestwood, Petworth",28.0
30989473,38.90622,-76.9991,NoMa-New 1 Bedroom English Basement w/ PARKING,https://www.airbnb.com/rooms/30989473,115.0,Entire rental unit,Entire home/apt,3,93,0,0,2019-01-01,2023-06-16,4.91,1.4,966723,Shella,True,1,1,,"NE Union Station, Stanton Park, Kingman Park",90.0
31016026,38.91257,-77.02189,Stylish & Modern Apt  Shaw ~ PKING!,https://www.airbnb.com/rooms/31016026,160.0,Entire rental unit,Entire home/apt,4,169,44,3,2019-01-17,2024-06-12,4.81,2.56,46630199,Home Sweet City,True,95,301,Hosted License: 5007242201002327,"NW-mid Shaw, Logan Circle",3.0
31016474,38.90228,-76.98597,"Convenient, Modern Apartment near H-Street!",https://www.airbnb.com/rooms/31016474,89.0,Entire rental unit,Entire home/apt,4,122,37,2,2018-12-22,2024-06-03,4.58,1.82,17741442,Clinton,True,2,2,Hosted License: 5007242201002150,"NE Ivy City, Arboretum, Trinidad, Carver Langston",2.0
31066028,38.8962,-76.99241,❤️Insta-worthy EXPOSED BRICK- walk to EVERYTHING!,https://www.airbnb.com/rooms/31066028,150.0,Entire condo,Entire home/apt,4,8,0,0,2019-01-26,2019-09-07,5.0,0.12,33664909,Audrey,True,1,1,,"NE Union Station, Stanton Park, Kingman Park",31.0
31088980,38.84022,-76.99312,Spacious Townhouse - New Construction!,https://www.airbnb.com/rooms/31088980,83.0,Private room in townhouse,Private room,2,79,7,0,2019-02-03,2024-05-15,4.82,1.21,27789799,Kevann,True,2,3,Hosted License: 5007242201002182,"SE Congress Heights, Bellevue, Washington Highlands",1.0
31223204,38.92482,-77.02338,Cozy Basement w/Parking By Request -U St & Howard,https://www.airbnb.com/rooms/31223204,85.0,Private room in home,Private room,2,45,0,0,2019-01-17,2019-12-21,4.56,0.68,159839010,Tri,True,5,9,,"NW-mid Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",31.0
31125533,38.94542,-77.01953,Petworth studio great space for extended stays!,https://www.airbnb.com/rooms/31125533,89.0,Entire guest suite,Entire home/apt,4,79,4,1,2019-03-20,2024-05-26,4.94,1.23,46151252,Tom,True,1,1,,"NW-mid Brightwood Park, Crestwood, Petworth",31.0
31189367,38.91507,-77.01146,Exclusive Apt in Shaw-“2 BR” Slps 4/6,https://www.airbnb.com/rooms/31189367,135.0,Entire rental unit,Entire home/apt,5,95,22,3,2019-01-28,2024-06-15,4.79,1.45,46630199,Home Sweet City,True,95,301,Hosted License: 5007242201001430,"NE/NW Edgewood, Bloomingdale, Truxton Circle, Eckington",3.0
31191457,38.963036,-76.999519,Cozy & Convenient Basement 1-Bedroom Apartment,https://www.airbnb.com/rooms/31191457,76.0,Entire guest suite,Entire home/apt,3,157,25,2,2019-04-21,2024-06-03,4.71,2.49,233203296,Mauricia,True,1,2,Hosted License: 5007242201001911,"NE/NW Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",2.0
31202974,38.97239,-77.02119,Cheerful Sunny Bedroom near Takoma Metro,https://www.airbnb.com/rooms/31202974,75.0,Private room in home,Private room,2,23,3,1,2019-02-22,2024-05-27,4.65,0.35,134792083,Christopher,False,1,2,Exempt,"NW-mid Takoma, Brightwood, Manor Park",3.0
31222679,38.91383,-77.0088,Large Apartment in Charming Neighborhood,https://www.airbnb.com/rooms/31222679,150.0,Entire rental unit,Entire home/apt,2,163,34,1,2019-05-05,2024-06-16,4.88,2.61,27241272,Alayna,True,1,1,Hosted License: 5007242201000901,"NE/NW Edgewood, Bloomingdale, Truxton Circle, Eckington",3.0
31236410,38.904930114746094,-77.01924896240234,Demeter House,https://www.airbnb.com/rooms/31236410,250.0,Entire rental unit,Entire home/apt,4,111,24,2,2019-01-17,2024-06-08,4.95,1.68,19574474,Stephen,True,2,7,Hosted License: 5007242201001496,"NW-mid Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",3.0
31241819,38.8725,-76.98202,A home away from home (Luxury Apartment) Apt #2,https://www.airbnb.com/rooms/31241819,140.0,Entire rental unit,Entire home/apt,5,129,28,3,2019-01-07,2024-06-06,4.78,1.94,233733884,Sivenson,False,2,2,Exempt,"SE Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",2.0
31249608,38.90345,-76.99064,Modern 3BR Near Capitol and Union Market w Parking,https://www.airbnb.com/rooms/31249608,297.0,Entire townhouse,Entire home/apt,8,267,66,6,2019-01-07,2024-06-19,4.85,4.02,23455172,Chris,True,1,2,Hosted License: 5007242201001143<br />Unhosted License: 5007262201001144,"NE Ivy City, Arboretum, Trinidad, Carver Langston",3.0
31281765,38.95614,-77.07947,Bright & Beautiful House in Superb DC Neighborhood,https://www.airbnb.com/rooms/31281765,125.5,Entire home,Entire home/apt,5,18,2,0,2022-10-02,2023-07-30,5.0,0.86,16325168,Faye,True,1,1,Hosted License: 5007262201002121,"NW-far Friendship Heights, American University Park, Tenleytown",90.0
31310107,38.92482,-77.02338,Cozy 2nd Room w/Parking By Request - U St & Howard,https://www.airbnb.com/rooms/31310107,70.0,Private room in home,Private room,2,32,1,0,2019-01-21,2024-03-24,4.59,0.49,159839010,Tri,True,5,9,,"NW-mid Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",31.0
31313892,38.92554,-77.02332,Cozy 1st Room w/Parking By Request - U St & Howard,https://www.airbnb.com/rooms/31313892,75.0,Private room in home,Private room,2,28,1,0,2019-01-20,2024-04-03,4.54,0.42,159839010,Tri,True,5,9,,"NW-mid Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",31.0
31315484,38.92482,-77.02338,Cozy 3rd Room w/Parking By Request - U St & Howard,https://www.airbnb.com/rooms/31315484,60.0,Private room in home,Private room,1,56,1,0,2019-01-19,2024-04-16,4.48,0.85,159839010,Tri,True,5,9,,"NW-mid Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",31.0
31332079,38.8883,-76.98516,Hill East Hideaway,https://www.airbnb.com/rooms/31332079,152.5,Entire condo,Entire home/apt,2,2,0,0,2019-11-01,2020-02-15,5.0,0.04,195016684,Todd,True,1,1,,"SE Capitol Hill, Lincoln Park",180.0
31338157,38.91159,-77.02533,Amazing Logan Circle 2bdrm Bsmt Apt/ Conv Ctr.,https://www.airbnb.com/rooms/31338157,221.0,Entire rental unit,Entire home/apt,5,126,33,1,2019-05-19,2024-06-17,4.75,2.03,90117890,Jonathan,False,5,5,Hosted License: 5007242201002724<br />Unhosted License: 5007262201002583,"NW-mid Shaw, Logan Circle",3.0
31390865,38.87028,-76.98517,"Bright Room,  Priv Bath, Peloton Tread +9"" Ceiling",https://www.airbnb.com/rooms/31390865,75.0,Private room in home,Private room,2,224,58,7,2019-01-13,2024-06-13,4.89,3.38,1158402,Laura,True,3,8,Hosted License: 5007242201000585<br />Unhosted License: 5007262201000586,"SE Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",3.0
31421230,38.96353,-77.00409,"Spacious Clean Lux 1BR: Rest, Work, Play, Repeat!",https://www.airbnb.com/rooms/31421230,182.0,Entire guest suite,Entire home/apt,3,96,13,0,2019-04-28,2024-05-19,4.94,1.53,64813126,Andrew,True,1,1,Hosted License: 5007242201001311,"NE/NW Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",2.0
31517023,38.93921,-76.99347,"Urban retreat: Quiet, Quaint, and ""Quaran-clean""!",https://www.airbnb.com/rooms/31517023,50.0,Private room in home,Private room,2,19,8,1,2019-03-15,2024-06-15,4.95,0.3,108050042,Deena,True,2,2,Exempt,"NE North Michigan Park, Michigan Park, University Heights",26.0
31570396,38.91989,-77.03344,Urban Oasis in DC's Trendy 14th & U St Area,https://www.airbnb.com/rooms/31570396,115.0,Entire rental unit,Entire home/apt,2,303,55,4,2019-01-28,2024-06-13,4.97,4.61,6880365,Kerry,False,2,2,Hosted License: 5007242201000853,"NW-mid Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2.0
31592816,38.86816,-76.98694,Perfect Home for Four in DC! Full kitchen!,https://www.airbnb.com/rooms/31592816,116.0,Entire home,Entire home/apt,4,325,63,4,2019-02-17,2024-06-09,4.76,4.99,1158402,Laura,True,3,8,Hosted License: 5007242201000585<br />Unhosted License: 5007262201000586,"SE Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",3.0
31599341,38.92271,-77.04603,2 bdrm 2bth roommate layout condo 10 mins to metro,https://www.airbnb.com/rooms/31599341,129.5,Entire condo,Entire home/apt,4,8,2,1,2019-08-31,2024-05-22,4.75,0.14,128923810,Aziza,True,2,2,,"NW-mid Kalorama Heights, Adams Morgan, Lanier Heights",31.0
31625278,38.86806,-76.96286,City Oasis with custom shower,https://www.airbnb.com/rooms/31625278,120.0,Entire home,Entire home/apt,6,0,0,0,,,,,5943445,David,False,1,1,Hosted License: 5007242201002518<br />Unhosted License: 5007262201002480,"SE Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",3.0
31708124,38.92595,-77.02448,Renovated 1 Bedroom - CoHi/Park View,https://www.airbnb.com/rooms/31708124,106.0,Entire rental unit,Entire home/apt,2,244,66,6,2019-03-13,2024-06-13,4.92,3.8,6555931,Dino,True,1,1,Hosted License: 5007242201000629,"NW-mid Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1.0
31804536,38.94534,-77.03648,Historic Private Home,https://www.airbnb.com/rooms/31804536,50.0,Private room in home,Private room,1,1,0,0,2019-07-31,2019-07-31,5.0,0.02,66256547,Peggy,True,2,2,,"NW-mid Brightwood Park, Crestwood, Petworth",31.0
31809354,38.92373,-77.04196,2B/2b New Americana Retreat in the heart of D.C.!,https://www.airbnb.com/rooms/31809354,300.0,Entire rental unit,Entire home/apt,6,275,32,6,2019-02-11,2024-06-12,4.96,4.21,238394816,Lee,True,1,1,Hosted License: 5007242201001370<br />Unhosted License: 5007262201002616,"NW-mid Kalorama Heights, Adams Morgan, Lanier Heights",2.0
31824956,38.92546,-77.0357,*Visit DC July 12 -18 & Book a COZY 1BR in Ad-Mo*,https://www.airbnb.com/rooms/31824956,159.0,Entire rental unit,Entire home/apt,3,85,33,3,2019-06-13,2024-06-12,4.95,1.39,238503631,Charlie,False,1,1,Hosted License: 5007242201000702,"NW-mid Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",4.0
31863489,38.84781,-76.96959,1-bedroom + private bath in quiet row house,https://www.airbnb.com/rooms/31863489,45.0,Private room in home,Private room,2,3,0,0,2019-02-03,2019-10-07,4.67,0.05,42865328,Mahogany,True,1,1,,"SE Douglas, Shipley Terrace",31.0
31887632,38.89618,-77.00212,Neighbor of Capitol,https://www.airbnb.com/rooms/31887632,200.0,Entire home,Entire home/apt,4,10,0,0,2019-06-27,2020-03-09,4.7,0.16,220082929,Anna,True,1,6,,"NE Union Station, Stanton Park, Kingman Park",31.0
31929526,38.89091,-76.93671,"2 BR Duplex 1 Block To Metro w/park, WiFi, Netflix",https://www.airbnb.com/rooms/31929526,75.0,Entire townhouse,Entire home/apt,5,132,9,0,2019-08-26,2024-05-02,4.64,2.25,95350797,Oscar,True,2,2,Exempt,"SE Capitol View, Marshall Heights, Benning Heights",31.0
31953126,38.92645,-77.04076,"Sunny Adams-Morgan studio near everything, parking",https://www.airbnb.com/rooms/31953126,135.0,Entire rental unit,Entire home/apt,2,111,41,1,2019-03-10,2024-05-24,4.75,1.72,570552730,Alba,True,2,2,Hosted License: 5007242201001733,"NW-mid Kalorama Heights, Adams Morgan, Lanier Heights",1.0
31986507,38.89191,-76.99871,"Family Favorite ""The Washingtonian""-Parks & Metro!",https://www.airbnb.com/rooms/31986507,152.5,Entire rental unit,Entire home/apt,6,282,46,1,2019-02-15,2024-06-01,4.83,4.33,239817994,Meaghan,True,1,1,Hosted License: 5007242201000046,"SE Capitol Hill, Lincoln Park",3.0
32021833,38.88961,-76.9258,Cozy suite self check-in & free parking in NE DC,https://www.airbnb.com/rooms/32021833,64.0,Entire home,Entire home/apt,2,172,39,2,2019-03-13,2024-06-17,4.8,2.68,61076428,Sherita,False,1,1,Hosted License: 5007242201000156,"SE Capitol View, Marshall Heights, Benning Heights",2.0
32041730,38.92804,-77.07598,Cathedral Charmer,https://www.airbnb.com/rooms/32041730,220.0,Entire rental unit,Entire home/apt,7,65,2,1,2019-02-24,2024-06-15,4.63,1.0,18493253,Michael,True,3,4,Hosted License: 5007242201001170,"NW-far Cathedral Heights, McLean Gardens, Glover Park",5.0
32083321,38.9681,-77.02066,"Private basement apartment, 15 minutes from Metro",https://www.airbnb.com/rooms/32083321,56.0,Entire guest suite,Entire home/apt,2,206,71,6,2019-02-17,2024-06-13,4.69,3.17,2222558,David,True,1,2,Hosted License: 5007242201001134,"NW-mid Takoma, Brightwood, Manor Park",1.0
32104084,38.93528,-77.04472,Chic Basement Studio in Historic Mount Pleasant,https://www.airbnb.com/rooms/32104084,90.0,Entire rental unit,Entire home/apt,2,34,7,0,2019-02-18,2024-04-21,5.0,0.52,237463,Caroline,True,1,3,Hosted License: 5007242201000845,"NW-mid Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2.0
32151631,38.9443,-77.01583,The Panama Room,https://www.airbnb.com/rooms/32151631,67.0,Private room in townhouse,Private room,2,10,0,0,2020-01-29,2022-06-10,4.4,0.19,62543911,Monica,True,5,5,,"NW-mid Brightwood Park, Crestwood, Petworth",31.0
32159180,38.91616,-77.03942,"U Street, Adams Morgan, Dupont Townhouse",https://www.airbnb.com/rooms/32159180,120.0,Private room in townhouse,Private room,2,1,0,0,2019-05-02,2019-05-02,5.0,0.02,241250039,Dennis And Rene,True,2,6,Hosted License: 5007242100000005<br />Unhosted License: 5007262101000101,"NW-mid Dupont Circle, Connecticut Avenue/K Street",28.0
32168514,38.882996,-77.003784,Modern Newly Remodeled Capitol Hill Apartment,https://www.airbnb.com/rooms/32168514,124.0,Entire home,Entire home/apt,4,357,95,10,2019-02-17,2024-06-14,4.81,5.49,73385154,Candice,True,1,1,Hosted License: 5007242201000642,"SE Capitol Hill, Lincoln Park",1.0
32284361,38.94231,-77.02228,"New, Light-filled, Luxury 2-bedroom Apartment",https://www.airbnb.com/rooms/32284361,120.0,Entire rental unit,Entire home/apt,3,101,8,0,2019-03-03,2024-04-22,4.92,1.56,247086,Jordan,True,1,1,Hosted License: 5007242201002408,"NW-mid Brightwood Park, Crestwood, Petworth",4.0
